Code,Country,latitude,longitude
223,Mali,17.570692,-3.996166
233,Ghana,7.946527,-1.023194
31,Netherlands,52.132633,5.291266
32,Belgium,50.503887,4.469936
33,France,46.227638,2.213749
34,Spain,40.463667,-3.74922
39,Italy,41.87194,12.56738
41,Switzerland,46.818188,8.227512
44,United Kingdom,55.378051,-3.435973
48,Poland,51.919438,19.145136
49,Germany,51.165691,10.451526
506,Costa Rica,9.748917,-83.753428
507,Panama,8.537981,-80.782127
51,Peru,-9.189967,-75.015152
52,Mexico,23.634501,-102.552784
55,Brazil,-14.235004,-51.92528
56,Chile,-35.675147,-71.542969
57,Colombia,4.570868,-74.297333
593,Ecuador,-1.831239,-78.183406
65,Singapore,1.352083,103.819836
90,Turkey,38.963745,35.243322
91,India,20.593684,78.96288
92,Pakistan,30.375321,69.345116
966,Saudi Arabia,23.885942,45.079162
971,United Arab Emirates,23.424076,53.847818
974,Qatar,25.354826,51.183884
201,United States,40.83885,-74.04567813
203,United States,41.29179813,-73.12245313
206,United States,47.56402714,-122.3489757
214,United States,32.86350083,-96.83776792
219,United States,41.56626333,-87.2636
236,United States,50.43272529,-121.5153694
248,United States,42.54372462,-83.26242846
254,United States,31.204726,-97.579188
305,United States,25.74041704,-80.35898037
314,United States,38.64949667,-90.32305333
315,United States,43.253676,-75.862524
347,United States,40.691608,-73.959668
407,United States,28.39369067,-81.30824933
408,United States,37.26716556,-121.8848322
415,United States,37.927565,-122.517545
419,United States,41.12878286,-83.21476
425,United States,47.73323929,-121.8640779
437,United States,43.70011,-79.4163
438,United States,45.5546,-73.88272
440,United States,41.47965933,-81.69733133
469,United States,32.86905783,-96.82601565
610,United States,40.251023,-75.457804
510,United States,37.43248,-121.8074523
513,United States,39.34930286,-84.49883429
520,United States,32.11801571,-110.9764843
561,United States,26.55579333,-80.13544083
571,United States,38.8324725,-77.270965
609,United States,39.9697625,-74.7087
617,United States,42.34858182,-71.10012727
619,United States,32.72058333,-117.0466042
630,United States,41.8771732,-88.0948236
646,United States,40.71427,-74.00597
647,United States,43.70011,-79.4163
650,United States,37.53483375,-122.2846556
703,United States,38.8324725,-77.270965
704,United States,35.36768556,-80.74773778
732,United States,40.42072143,-74.32367929
734,United States,42.25120273,-83.41347636
757,United States,36.87017143,-76.31351429
763,United States,45.09851444,-93.35914889
770,United States,33.8336605,-84.3569235
781,United States,42.38921565,-71.10036565
847,United States,42.14730875,-87.94760563
857,United States,42.34858182,-71.10012727
858,United States,32.96282,-117.03586
859,United States,38.4547925,-84.4768825
864,United States,34.72085833,-82.29456333
904,United States,30.25227667,-81.60564667
908,United States,40.66289727,-74.28977364
909,United States,34.074295,-117.5405572
912,United States,32.12640333,-81.49298333
913,United States,39.0303175,-94.718015
914,United States,41.026625,-73.8051675
925,United States,37.89177667,-121.935052
949,United States,33.57348615,-117.7337162
